Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
على عكس العمر أو الوزن - قم بتسمية الرقم الذي ستفاجأ أن يقدمه شخص ما قبل موعد أعمى.,36,رقم التليفون,26,دخل,14,الضمان الاجتماعي,8,عشاق الماضي,3,معدل الذكاء
قم بتسمية شيء في المنزل لا يجب أن تتركه عند الخروج.,35,أضواء,34,فرن,12,صانع القهوة,5,تلفزيون,3,حديد
اسم اللغة المستخدمة في أوروبا.,49,فرنسي,21,إنجليزي,11,الأسبانية,9,الألمانية,6,ايطالي
قم بتسمية قطعة من الملابس التي يفقدها الأطفال دائمًا,47,الجوارب,18,أحذية,15,قفازات,9,قبعة,7,سترة
أخبرني عن الطعام الذي غالبًا ما يرتلعه الناس أثناء تناول الطعام,62,حساء,27,معكرونة,4,رقائق الذرة,3,بوظة,3,جيل أو
ما هي أفضل هدية يقدمها لك رئيسك في الأعياد؟,55,رفع / مكافأة,22,أيام العطلة,8,طعام العيد,7,بطاقة هدية,4,مجوهرات
قم بتسمية شيء ينفق عليه الكثير من الأشخاص الكثير من المال - فقط لإثارة إعجاب الآخرين.,41,ملابس,40,سيارة,10,منزل,3,قص الشعر,3,مجوهرات
قم بتسمية شيء كان من الممكن أن يخيط عليه زي فنان من لاس فيغاس,52,الترتر,16,الريش,11,اسم,9,الخرز,9,جواهر
"في عيد ميلاده الثامن عشر - ما الذي تكره الأم سماع ابنها يقوله؟ ""أمي - أنا _____""",31,الخروج,25,الزواج,19,الذهاب ليكون أبا,10,الانقطاع عن العمل,5,الالتحاق بالعسكرية
اذكر مهنة من شأنها أن تساعدك على أن تكون جيدًا في حل الكلمات المتقاطعة.,58,مدرس,17,الكاتب,13,أمين مكتبة,8,محرر,4,صحافي
قم بتسمية شيء قد تجد سندريلا صعوبة في القيام به في شبشبها الزجاجي.,54,جري,17,اضغط على الرقص,13,المشي,7,التطهير,6,القفز
قم بتسمية شيء من المفترض أن يفعله الناس بشكل مختلف عن الحيوانات,43,يأكل,25,يمشي,19,يتواصل,8,يفكر,3,حافظ على نظافتك
ما الذي يمكن لجهاز الكمبيوتر الخاص بك أن يعمل بدونه - ولكن سيكون من المشكل عدم وجوده؟,31,إنترنت,30,الفأر,16,طابعة,12,مكبرات الصوت,8,لوحة المفاتيح
"بدلاً من ""الشجاعة"" أو ""العقل"" - ما هي الصفة التي ستطلبها من ساحر أوز؟",30,حب,26,قوة,24,جمال,12,حكمة,5,العطف
إذا هبط كائن فضائي في وقت عيد الميلاد - اذكر تقليد عيد الميلاد الذي سيكون من الصعب شرحه.,38,سانتا,22,تغليف/تبادل الهدايا,20,شجرة في المنزل,8,كارولينج,7,قبلة تحت الهدال
قم بتسمية المدينة التي تتوقع أن تجد فيها أشخاصًا جميلين,30,هوليوود,24,نيويورك,21,ميامي,20,باريس,4,لاس فيجاس
قم بتسمية أحد المحترفين الذي يمكنك التواصل معه، لكن لا ينبغي عليك مغازلته أبدًا.,37,شرطي,25,رئيس,14,مدرس,9,كاهن,8,محامي
قم بتسمية الفاكهة التي تعصرها لمعرفة ما إذا كانت ناضجة أم لا.,48,البرتقالي,16,خَوخ,16,البطيخ,9,طماطم,8,ليمون
قبل العمل بدوام جزئي - اذكر الطريقة التي يكسب بها الأطفال المال.,37,واجبات منزلية,27,مجالسة الأطفال,16,طريق الورق,14,جز العشب,4,موقف عصير الليمون
قم بتسمية المطبوعة التي تجدها على فستان المرأة، ولكن ليس على علم الدولة.,43,الأزهار,26,منقوشة,17,منقطة,7,بيزلي,5,طباعة الفهد
"قم بتسمية شيء يقوله أحد الوالدين لابنه المراهق - ""لم أفعله مطلقًا في عمرك""",48,دخان,27,شرب,6,تاريخ,4,تحدث مرة أخرى,3,كذب
قم بتسمية إحدى الألعاب اللوحية التي تستغرق وقتًا طويلاً للعب.,42,احتكار,19,الشطرنج,15,الخربشة,10,مخاطرة,9,حياة
أخبرني بشيء تشعر به قبل شرائه.,44,الفاكهة / الخضار,23,ملابس,13,خبز,11,وسادة,7,البياضات
ماذا تفعل عندما تريد الغناء مع أغنية ما ولكنك لا تعرف الكلمات؟,66,همم,18,غمغم,6,التظاهر بمعرفة,4,صافرة,4,مزامنة الشفاه
قم بتسمية شيء تتمنى أن يفعله أطفالك دون أن يطلب منك ذلك مرتين.,54,ينظف,14,العمل في المنزل,13,اذهب إلى الفراش,11,فرشاة الأسنان,5,يستمع
قم بتسمية شيء يفعله الناس في شهر ديسمبر للاستمتاع بروح العطلة,55,تزيين,26,شراء الهدايا,7,غناء كارولز,6,طرح شجرة,5,استمع إلى الموسيقى
لماذا قد تترك مطعمًا قبل تناول الطعام فيه؟,42,متسخ,35,خدمة سيئة,9,مزدحم,8,باغز باني,4,الانتظار الطويل
ما هي سمة المعلم الجيد التي قد تكون مهمة أيضًا بالنسبة للرجل المخادع الجيد؟,54,ذكي,17,المنتهية ولايته,12,مقنعة,7,موثوق به,7,تبدو احترافية
اذكر مهنة قد تتعب من ارتداء نفس الشيء كل يوم,33,ممرضة,26,طبيب,21,ضابط شرطة,13,خادم الطعام,4,ناقل البريد
أخبرني بشيء محدد يجب أن يمل الحلاق من القيام به,46,قص الشعر,25,حلق,12,كنس,7,واقفا,7,إجراء محادثة
من هو الممثل الذي تعتقد أنه حصل على أكبر عدد من رسائل الحب؟,57,براد بيت,13,توم كروز,12,جورج كلوني,4,زاك إيفرون,4,ميل جيبسون
قم بتسمية أحد المشاهير الذين أنت متأكد من أنهم خضعوا لجراحة تجميلية,34,جوان ريفرز,29,باميلا أندرسون,12,شير,10,دوللي بارتون,9,مايكل جاكسون
من هو الرسام الشهير الذي ستطلب منه أن يرسم صورتك الشخصية؟,49,بيكاسو,15,فان جوخ,12,دافنشي,12,مونيه,10,مايكل أنجلو
قم بتسمية شيء لن تتركه في سيارتك في يوم حار,31,كلب,24,طفل,18,الشوكولاته,18,بوظة,6,لبن
اذكر نوع المشروب الذي لا ترغب في سكبه عليك.,36,خمر,35,قهوة,13,جعة,8,عصير,5,لبن
قم بتسمية وظيفة يوم جيد لبناء الأجسام,42,مدرب شخصي,19,بناء,13,الحارس,9,يا حارس الشاطئ,6,نموذج
قم بتسمية شيء تم العثور عليه في لاس فيجاس وترغب في رؤية المزيد منه في مدينتك الأصلية,60,الكازينوهات,18,أضواء ساطعة,8,نساء جميلات,7,الحياة الليلية,5,مال
أخبرني عن حيوان ترتبط به مع الهند,43,الفيل,22,جمل,19,نمر,9,بقرة,4,قرد
قم بتسمية مكان يوجد به في كثير من الأحيان خط مخصص لمرحاض النساء,29,حاجِز,26,حفلة موسيقية,19,مول,13,مطعم,11,مسرح السينما
قم بتسمية شيء ينمو دون سقيه.,28,شعر,25,الأعشاب,19,صبار,17,الناس,3,الأظافر
ما الذي يستخدمه الأشخاص للحفاظ على مكانهم في الكتاب إذا لم يكن لديهم إشارة مرجعية؟,55,ورق,18,أضعاف الصفحة,13,قلم,8,بطاقة,4,منديل
إذا ظهر سانتا في حفل عطلة العمل الخاص بك - ما الذي قد يطلبه زملائك في العمل لعيد الميلاد؟,38,علاوة,25,يرفع,11,سيارة,10,إجازة,5,رئيس جديد
قم بتسمية شيء لا يحتاج إليه فتى الكشافة لإشعال حريق، لكنك تفعل ذلك,46,مباريات,25,أخف وزنا,12,الغازولين,11,أوقد,4,صحيفة
اذكر موقفًا يكون فيه ركوب الدراجة أفضل من ركوب سيارة أجرة,69,ازدحام المرور,12,لا مال,7,تريد ممارسة الرياضة,5,مسافة قصيرة,4,طقس جميل
قم بتسمية قطعة من الملابس لا يمكن كيها إلا شخص مهووس بالأناقة,47,الملابس الداخلية,29,الجوارب,14,جينز,5,رَابِطَة,3,ثوب النوم
اذكر سببًا قد يجعل شخصًا ما يسخر من حركات رقصك,25,إنهم غيورون,25,لا أعرف الخطوات,22,التحركات الطراز القديم,17,أخرق / تنطلق,8,لا إيقاع
قم بتسمية شيء محدد قد يغيره شخص ما لكي يصبح من المشاهير,32,جسم,29,اسم,15,شعر,10,سلوك,6,أنف
أخبرني بشيء محدد تكرهه بشأن الذهاب إلى طبيب الأسنان,59,حفر,13,منتظر,8,فاتورة,8,لقطات,7,خدر الفم / نوفاكين
قم بتسمية شيء ترتديه النساء والذي يصبح غير مريح بعد فترة,50,حمالة,21,الكعب العالي,15,الملابس الداخلية,9,حزام,3,النايلون
اسم آلة موسيقية مصنوعة من الخشب,30,غيتار,26,كمان,18,الناي / الأنابيب,8,الكلارينيت,5,المزمار
قم بتسمية العذر الذي يقدمه الناس لعدم تناول الطعام الصحي,55,لا وقت,18,كسول,11,مكلفة للغاية,7,ذوق,5,عش مرة واحدة فقط
قم بتسمية مكان لا يستطيع الشخص العادي أن يعيش فيه يومًا واحدًا,43,سجن,24,صحراء,13,جيش,11,التندرا المجمدة,6,الفضاء الخارجي
أخبرني عن نشاط يمكنك القيام به لإثبات أنك لا تخاف من المرتفعات,43,سكاي دايف,26,القفز بالحبال,12,تسلق الصخور,6,تسلق سلم,5,الطيران المظلي
اذكر شيئًا أخذه الجندي إلى اليوم الأول من روضة الأطفال - والذي لن يأخذه في اليوم الأول من التدريب.,36,بلانكي,21,الطباشير الملون,15,صندوق الغداء,12,دمية دب,10,الوالد
قم بتسمية شخص يؤمن به الأطفال.,50,سانتا كلوز,27,إله,10,جنية الأسنان,6,أرنب عيد الفصح,5,آباء
اذكر شيئًا يجب على المرأة أن تعرفه قبل الزواج منه,39,دخل,26,عمر,12,هل لديه أطفال,8,اسمه,5,العلاقات الماضية
قم بتسمية شيء ما في القائمة قد يضمن المطعم أنه لن يتمكن أحد من إكماله.,63,شريحة لحم,16,برجر,9,بيتزا,4,ضلوع,3,المعكرونة
قم بتسمية شيء تتجنب القيام به رغم أنك تشعر بالتحسن بعد الانتهاء منه.,52,تنظيف,15,يمارس,13,دش,10,مغسلة,4,دفع الفواتير
قم بتسمية شيء محدد تتناوله دائمًا تقريبًا من الحقيبة.,68,رقائق,18,الفشار,5,بطاطس مقلية,5,حلوى,3,الفول السوداني
اذكر الهدية التي غالبًا ما يقدمها الكبار لبعضهم البعض - سيكون من الغريب تقديمها لطفل,32,زهور,24,الكحول,18,مال,17,مجوهرات,6,عطر
قم بتسمية شيء قد ترى أحد المنقذين يحمله,33,صافرة,28,حافظ الحياة,15,منشفة,11,لوح التزلج,3,شخص
