Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
Name A Food That’s Made From Corn.,29,Popcorn,26,Corn Bread,20,Tortillas/Chips,9,Gifts,16,Cornflakes/Cereal
Name A Public Place Where You Might Be Spotted Wearing Less Clothing Than Usual.,43,Beach,31,Pool,10,Nightclub,6,Spa,5,Gym
Name A Reason Why You’d Wake Your Spouse Up In The Middle Of The Night,41,Heard A Noise,17,“In The Mood”,16,Snoring,9,You’re Sick,5,Had A Nightmare
Name A Weather Condition That Is 4 Letters Long,41,Snow,35,Rain,13,Cold,6,Wind,3,Hail
Name Something A Cheerleader Has Lots Of.,37,Energy,25,Pom Pom,24,Spirit,5,Cheers,2,Hair
Name A Type Of Party That’s Bound To Get A Little Out Of Hand.,36,Bachelor(ette) Party,24,College/Frat Party,14,House Party,10,New Years Eve,8,Haloween/Costume
Name A Part Of A Boxer’s Body That Might Be Swollen After A Match,29,Cheeks,27,Eyes,16,Nose,10,Lips,5,Hands
Name A Specific Way That You Wish Your Life Were Like A Hollywood Movie,44,Have Lots Of Money,22,Find True Love,20,Live In Nice House,9,Lots Of drama,4,Happy Ending
Name Another Word Or Phrase People Use To Say Good-Bye,40,See You Later,21,So Long,20,Adios,9,Ciao,5,Hasta La Vista
Name Something You’d Learn To Do In Your First Swim Class,68,Float,13,Hold Breath,6,Doggy paddle,4,Blow Bubbles,3,Head Under Water
Name Something You Might Lose As You Get Older.,41,Memory,27,Hair,11,Teeth,9,Eye Sight,6,Hearing
Name A Type Of Wave That You Can’t Ride On,39,Tidal,24,Hand,16,Sound,11,Radio,4,Heat
We Asked 100 Husbands: If Your Wife Is Staring At You Over A Holiday Dinner- What Might She Be Telling You With Her Look,38,I Love You,23,Your In Trouble,13,Let’s Leave,10,Stop Talking,9,Help Out/Dishes
Name Something That People Often Write On The Back Of Postcards,30,Name,26,Address,16,With Love,14,Miss You,11,Hi/Hello
Name A Mountain Range Known For Skiing,35,Rockies,32,Swiss Alps,8,Sierras,6,Appalachian,4,Himilaysa
Name A Room That You’d Find In A Mansion- But Not A Regular House,40,Library/Study,22,Game Room,18,Pool Room,9,Parlor,8,Home Theatre
On “Family Feud-” Name Something The Host Asks Players About.,52,Family,17,Name,17,Job,7,Age,4,Hometown
Name Something A Shy Man Might Wear To Hide His Face.,45,Hat/Headband,24,Glasses,16,Facial Hair,9,Scarf,4,Hood
Name Something You Wear That Covers Your Ears.,50,Ear Muffs,35,Hat,5,Headphones,4,Scarf,3,Hood
Name Something A Teen Might Take Off Before Going To Grandma’s House For Dinner.,38,Makeup,32,Hat,13,Piercing,9,Shoes,3,Hoodie
Name A Fictional Character With Two Identities,35,Superman,33,Jekyll & Hyde,17,Batman,5,Spiderman,3,Hulk
Name A Person You Wouldn’t Want To Get Tipsy In Front Of.,42,Parent,41,Boss,7,Pastor,4,Police Officer,4,In Laws
Name Something You’re Better Off Spending Too Much Money On Than Too Little.,35,Car,23,House/Home Repair,20,Food,11,Gifts,9,Insurance
Name Something That’s “As American As Apple Pie.”,36,Baseball,21,Flag,13,Hamburger,11,Chevrolet,4,Jeans
Name A Drink People Put Ice In.,47,Tea,24,Soda,14,Alcohol,8,Water,7,Juice
Name Something Mick Jagger Does A Lot,56,Sing,10,Dance,10,Yell,9,Tour,7,Jump
Name A Specific Part Of Your Body That The Doctor Might Say To Take Better Care Of,51,Heart,24,Back/Spine,6,Feet,4,Eyes,4,Kidneys
Name A Product Door-To-Door Salesman Used To Sell,46,Vacuum Cleaner,28,Cosmetics,11,Encyclopedia,5,Bible,4,Knives
Name A Product Door-To-Door Salesmen Used To Sell.,46,Vacuum Cleaner,28,Cosmetics,11,Encyclopedia,5,Bible,4,Knives
Name Something People Drink A Lot Of In The Summer,36,Lemonade,25,Iced Tea,19,Water,10,Beer,5,kool Aid
Name A Downside To Being The Youngest Child In The Big Family.,61,Hand Me Down Clothes,18,Treated Like A Baby,7,Picked On,5,No Respect,4,Lack Of Attention
Real Or Fictional- Name Someone Who’s Associated With A Lamb,71,Mary,8,Jesus,6,Little Bo Peep,5,Shepherd,4,Lambchop (puppet)
Name Something Twins Might Always Share.,40,Looks,27,Parents,24,birthday,5,Genes,3,Last Name
Name A Type Of Business That’s Convenient To Have In Your Neighborhood,48,Market/Conv Store,33,Gas Station,8,Bank,4,Restaurant,3,Laundromat
Which Occupation Would You Expect A Guy Named Poindexter To Have?,41,Scientist,22,Accountant,19,Computer Programer/Tech,6,Teacher,6,Lawyer
Other Than Cotton- Name A Material Many Clothes Are Made Out Of.,32,Polyester,30,Silk,19,Wool,10,Nylon,7,Leather
Name Something That Might Be On A Toothpick Inside A Fancy Drink,59,Olive,18,Cherry,7,Umbrella,6,Lemon,4,Lime
Name A Gift That A Very Practical Woman Would Not Be Impressed By Receiving From A Man.,38,Flowers,27,Jewelry,13,Perfume,12,Candy,7,Lingerie
Name A Famous Phrase From The Wizard Of Oz?,28,Off To See The Wizard,23,No Place Like Home,23,Follow Yellow Brick Road,13,I’ll Get You My Pretty,13,Lions Tigers & Bears
Name Something People Do In The Woods That Probably Annoys The Animals Living There,36,Hunt,33,Relieve Themselves,16,Camp,7,Cut Down Trees,4,Litter
Name Something A Job Ad Should Tell You About The Job.,45,Pay,25,Title,16,Hours,9,Duties,3,Location
Name Something That Is Personalized,47,License Plate,23,Watch/Jewelry,19,Polio/Work Shirt,6,Towel Set,3,Luggage Tag
Name Something A Boss Might Ask His Secretary To Remind Him Of.,54,Appointments,21,Wife’s Birthday,12,Anniversary,8,Calls,5,Lunch
Name Something Of Yours That A Snoop Might Try To Get Access To.,54,Diary,20,Bank Account,9,Computer,8,Password,6,Mail
Name Something You’d Need If You Wanted To Look Like The Grim Reaper.,43,Black Hood & Cape,20,Sickle,13,Skeleton,11,Mask,8,Makeup
Name Something Naughty That Children Living In The White House Would Never Be Able To Get Away With,31,Sneaking Out,25,Shoplifting,14,Skipping School,12,Smoking/Drinking,9,Making A Mess
Name An Extracurricular Activity That Parents Say Is Good For A Child.,36,Team Sports,22,Music Lessons,21,Dance Class,12,Theatre,3,Martial Arts
Name A Food That Can Be Molded Into A Shape,47,Jello,28,Dough,9,Cheese,5,Meatloaf,5,Mashed Potatoes
Name A Professional Who You Hate To Call Because The Bill Is To Expensive?,35,Plumber,29,Lawyer,24,Doctor,5,Electrician,4,Mechanic
Name Something You Are Always Tempted To Steal From The Doctor’s Office.,39,Gloves,26,Magazine,12,Band Aids,11,Pen,7,medicine
Name A Type Of Profession Where You’d Be The Most Surprised To See Someone With A Tattoo.,44,Doctor,32,Religious Leader,8,Lawyer,7,Teacher,6,Model/Actor
Which Type Of Creatures Is Often The Villain In Fairy Tales?,49,Wolf,16,Ogre,13,Dragon,9,Witch,7,Monster
Name Something Football Players Wear For Protection.,43,Helmet,25,Cup,19,Shoulder Pads,5,Knee Pads,3,Mouth Guard
Name A Word Or Phrase That Begins With The Word “Mouth.”,36,Mouth Wash,23,Mouth Off,16,Mouth To Mouth,12,Mouthful,10,Mouthguard/Piece
Name A Place Where There’s Often A Line For The Women’s Restroom.,29,Bar,26,Concert,19,Mall,13,Restaurant,11,Movie Theatre
Name Something That You Can Adjust The Volume On,39,TV,31,Radio/Stereo,10,Computer,9,Phone,7,MP3 Player
Name Someone In Her Life That A Woman Might Have A Crush On?,36,Teacher,26,Boss,21,Friend,11,Doctor,3,Neighbor
Name Something A Boy Scout Wouldn’t Need To Start A Fire- But You Do,46,Matches,25,Lighter,12,Gasoline,11,Kindling,4,newspaper
What Words Do Kids Usually Use To Describe Something They Like?,51,Cool,18,Awesome,14,Yummy,9,Good,5,Nice
Name A Reason You’d Go By A Nickname Instead Of Your Full Name,44,Shorter,31,Dislike Full Name,12,Friends/Family Insist,7,Rare Name/Hard To Say,5,Nickname Sounds Cool
Name Something Every Newlywed Hopes Their Mother-In-Law Will Be Like,33,Quiet,20,Good Cook,16,Not Nosey,10,Lives Far Away,10,Nie
Name Something You’ve Come To Realize You’re Too Old To Put Up With.,34,Kids,29,Drama/Gossip,15,Dating,12,Noise,8,Nightlife
Tell Me A Reason Why A Kid Would Not Go Swimming All Summer Long,31,Can’t Swim/Afraid,23,In Cast,17,Grounded,11,Cold Weather,5,No Pool
Name Something You Would Buy A Lot Of When Hosting A New Year’s Party.,54,Drinks,27,Food,11,Decorations,4,Utensils,3,Noise Makers
Name A Sign You Might See Posted In A Restaurant.,78,No Smoking,7,Restrooms,5,Wait To Be Seated,2,No Shirt No Service,2,Not Resp. For Items
Name A Food That You Rinse Off Of A Dish Immediately Or It Becomes Hard As A Rock,31,Egg,29,Cheese Sauce,18,Pasta,12,Mashed Potatoes,8,Oatmeal/Cereal
Name Something You’d Find On The Cover Of A Novel.,44,Authors Name,38,Title,8,Blurb,6,Picture,4,On Best seller List
Name Something At A Rock Concert That You Don’t Pay To See- But See Anyway.,31,Fights,29,Drinking/Drugs,19,Crowds,13,Skimpy Outfits,6,Opening Band
Name A Movie Involving An Elephant.,48,Dumbo,19,Tarzan,17,Jungle Book,7,Jumanji,4,Operation:Dumbo Drop
Name A Place Where It’s Always Rainy.,50,Seattle,22,Rainforest,14,London,4,Florida Everglades,4,Oregon
Name A Shakesphere Character Who Most People Have Heard Of.,56,Romeo,20,Hamlet,15,JulietteJuliet,3,MacBeth,3,Othello
Name Something Construction Workers Wear,67,Hard Hat,14,Tool Belt,8,Boots,4,Orange Vests,4,Overalls
Name Something A Couple Might Worry About Having Less Of Once They Have Children,60,Money,16,Intimacy,13,Time,5,Privacy,5,Partners Love
Name A Food Item A Restaurant Might Offer As “All-You-Can-Eat.”,32,Chicken,26,Salad Bar,21,Shrimp,7,Crab Legs,6,Pasta
Name Something That A Game Show Host And A Good Teacher Have In Common,35,Good Speaker,33,Smart,19,Sense Of Humor,8,Personality,3,Patience
If You Were The Incredible Hulk- Tell Me What Part Of Your Day Would Most Likely Turn You Into A Monster.,30,Shopping,25,Work,19,Driving,14,Cleaning,9,Paying Bills
Besides Passengers- Who Might You See At A Subway Station?,42,Police,33,Conductor,11,Homeless Person,5,Ticket Takers,3,Performer
Name Something A Woman’s Doctor Might Advise Her Not To Wear.,45,High Heels,23,Pantyhose,12,Makeup,9,Girdle/Corset,4,Perfume
Name Another Word For “Little.”,39,Small,15,Tiny,5,Miniature,3,Mini,2,Petite
Name The Best Thing That Is Now Available Digital- But Hasn’t Always Been,35,TV,20,Clock,19,Canara,14,MP3/Music,10,Phone
Name A Type Of Book That You’re Not Expected To Read All Of.,36,Bible,28,Dictionary,15,Encyclopedia,10,Text Book,8,Phone Book
Name A Good Occupation For Someone Who Likes To Be The Center Of Attention,47,Actor,27,Singer,12,Teacher,6,Model,4,politician
In Order To Seem Like A “Regular Guy-” Name A Place Where A Politician Might Hang Out.,38,Bar,27,Bowling Alley,23,Diner,6,Rock Concert,5,Pool Hall
Name A Business That You Wish Stayed Open Later.,27,Bank,24,Restaurant,24,Bar,13,Supermarket,9,Post Office
Name Something That Politicians Would Be Better Off Without,29,Big Promises,27,Money/Donors,25,Scandal,8,Media,5,Power/Control
What Topic Would You See In A Women’s Magazine That’s Never In A Men’s Magazine?,37,Make Up,29,Period,12,Fashion,10,Cooking,10,Pregnancy
Name Someone Bart Simpson Would Block From Becoming His Friend On Facebook.,33,His Dad/Homer,30,His Sister/Lisa,15,His Mom/Marge,6,The Bully/Nelson,3,Principal Skinner
Name Something A Caveman Might Do To Impress A Cavewoman,36,Kill Dinosaur,21,Beat His Chest,14,Make Fire,14,Bring Her Meat,9,Pull Her By The Hair
Name Something You Might Drive Over That Would Cause A Bumpy Ride,39,Bumps,27,Pot Holl,12,Gravel Road,11,Rocks,4,Railroad Track
Name A Place Where You Can Always Find A Taxi,47,New York,35,Airport,5,Hotel,4,Breathe,2,Railway Station
Name Something You Might Have To Put Up With An At Outdoor Cafe That You Wouldn’t When Eating Indoors,31,Bugs,21,Wind,16,Cold Weather,15,Sun,12,Rain
Name A Fruit They Put In Ice Cream,49,Strawberry,18,Peach,13,Strawberry,10,Banana,4,Raspberry
Name A Place Where It’s Hard To Talk Because Of All The Background Noise,53,Concert,21,Bar,10,Sports Game,5,Mall,5,Restaurant
Name Something You Cut With Scissors.,68,Paper,10,Hair,9,Clothes,5,Nails,3,Ribbon
Name An Occupation In Which You’d Probably Go Through A Lot Of Sunscreen.,45,Lifeguard,20,Road Construction,14,Land Scaper/Gardener,11,Farmer,8,Roofer
Name An Actor Who Also Has A Rock Band?,33,Keanu Reeves,24,Kevin Bacon,17,Bruce Willis,14,Jack Black,7,Russell Crowe
Name Something At A Restaurant That Might Keep Getting Refilled,58,Drink,13,Ketchup,11,Bread Basket,11,Salp/Pepper,3,Salad Bowl
Name A Instrument That Can Sound Whiny,40,Violin,28,Flute,19,Clarinet,6,Guitar,4,Saxiphone
Name Something People Know About Spiders.,37,8 Legs,26,They Bite,17,Make Webs,12,Poisonous,4,Scary
Name Something You Take A Deep Breath Before Looking At,42,Blood/Injury,2,Finances,16,Your Weight,10,Grades,7,Scary Movie
Name A Two-Word Term That Starts With “Secret.”,34,Secret Service,20,Secret Agent,19,Secret Admirer,14,Secret Santa,7,Secret Garden
Name An Occupation Where Women Are Often Portrayed As Sexy?,33,Nurse,25,Dancer,17,Model,13,Waitress,7,Secretary
Tell Me An Occupation In Which It Could Be Disastrous To Fall Asleep On The Job.,43,Truck Driver,28,Airplane Pilot,10,Machinist,8,Bus/Taxi Driver,6,Security Guard
Name Something A Costume Character May Have To Remove Their Head To Do,56,Eat,17,Get A Drink,12,Talk,9,Breath,5,See
Name Something You Buy To Go With A Guitar.,32,Pick,28,Case,18,Strings,16,Amp,6,Sheet Music
When Wading In A Lake- Tell Me Something You Feel Against Your Feet,31,Pebbles,24,Sand/Mud,20,Fish,18,Seaweed,5,Shells
Name Something A Knight Needs For A Jousting Match,52,Horse,19,Sword,16,Armour,4,Lance,3,Shield
What Is The First Thing People Do If They Encounter A Bear In The Woods?,55,Run Away,21,Scream,16,Freeze,4,Hide,3,Shoot It
Name A Habit That Would Be Impossible To Hide From Your Spouse,64,Smoking,12,Drinking,7,Biting Nails,7,Gambling,4,Shopping
Name Something A Boy Might Wear That Is Likely To Get Him Kicked Out Of Prep School.,27,Hat,23,Dress/Skirt,18,Blue Jeans,17,Piercing,9,Shorts
Name Something You Do On Christmas And Your Birthday,41,Gifts,21,Eat Sweets,15,Party,13,Time With Family,5,Sing
Name Something A Family Might Do On Vacation At A Winter Lodge.,52,Ski,21,Sled,9,Ice Skate,8,Snowboard,5,Sit By Fire
Name Something Parents Let Their Kids Do In The Past- That Would Make Them Seem Like Bad Parents Today,33,No Seatbelt,24,Unsupervised Play,22,No Bike Helmet,11,Walk To School,8,Sit In Front Seat
Besides Video Games- Name Another Kind Of Game You Can Play At An Arcade.,44,Pinball,16,Foosball,15,Air Hockey,14,Basket Ball,11,Skee Ball
Name A Sport Whose Athletes Wear Hats.,45,Baseball,30,Golf,12,Tennis,8,Swimming,3,Skiing
Tell Me Something That Kids Ride With Ease- But An Adult Would Be Afraid To Ride.,35,Bicycle,33,Roller Coaster,15,Skate Board,9,Horse,6,Sled
Name Something A Baby Learns To Do Even Before It Can Talk,43,Crawl,24,Walk,12,Eating Junk,10,Cry,4,Smile
Name Something You Hope Your Friend Doesn’t Do When House Sitting For You.,44,Party,15,Steal,15,Use My Clothes,8,Make A Mess,8,Smoke
Other Than Drink Coffee- What Do People Do While At A Cafe,33,Talk,21,Read,20,Eat,18,Use Computer,5,Smoke
Tell Me Something You Avoid When You Are Sick,34,Other People,29,Work/School,25,Eating,5,Alcohol,5,Smoking
Name Something You Hope Doesn’t Happen When Holding Someone’s Baby.,43,Have To Change diaper,24,Drop It,16,Spit Up On You,9,Cry,8,Snneze/Cough On Baby
Name An Article Of Clothing That Makes You Feel Like You Can’t Move,30,Coat,29,Jeans,20,Girdle,10,Tights,7,Snow Suit
Name An Article Of Clothing That Makes You Feel Like You Can’t Move.,30,Coat,29,Jeans,20,Girdle,10,Tights,7,Snowsuit
Which Item Of Clothing Will You Wear More Than Once Before Washing It?,57,Jeans,18,Shirt,9,Coat,8,Bra,6,Socks
What Do People Start Having More Of In Their Car Once They Have Kids?,38,Toys,28,Trash,15,Car Seats,13,Food/Drink,4,Spills
Name Something A Person Might Do With Chewing Gum That Other People Think Is Rude.,47,Pop It,19,Smack,13,Blow Bubbles,8,Put Under Table,8,Spit It Out
Name Something You’d Need If You Wanted To Dress Up Like A Cowboy.,62,Cowboy Hat,28,Coyboy Boots,4,Toy Gun,4,Chaps,2,Spurs
Name Something A Bachelor Might Buy For His Bedroom To Make It More Romantic.,35,Candles,25,Mirrors,16,Colored Lights,11,Silk Sheets,6,Stereo System
Name Something That Causes Your Spouse To Snore Worse Than Usual.,40,Cold/Allergies,28,Alcohol,21,Exhaustion,6,Sleeping On Back,4,Stress
Name Something Kids Use For Fun- But Adults Use For Exercise.,48,Bike,24,Ball,18,Jumprope,6,Trampoline,3,Swimming Pool
If A Person Is A Driver For A Living What Specific Type Of Vehicle Might He Drive?,34,Semi Truck,25,bus,16,Limo,11,Race Car,5,Taxi
Name Something People Like To Drink At Bedtime.,53,Milk,27,Water,9,Hot Chocolate,6,Juice,5,Tea
Name An Occupation Where People Are Paid To Tell Others What To Do (More Specific Than Boss).,28,Doctor,27,Lawyer,15,Fitness Trainer,13,Accountant/Broker,6,Teacher
Name A Type Of Sport That Might Be Cancelled Because Of Rain.,72,Baseball,15,Football,7,Golf,4,Soccer,2,Tennis
Tell Me The Worst Thing To Have Break If You’re Stuck In Bed On Doctor’s Orders,45,Television,20,Remote Control,17,Phone,10,Furnace/AC,5,The Bed
If You Were Going To Be A Contestant On Jeopardy- Name A Specific Subject Area You’d Want To Memorize Beforehand.,46,History,24,Geography,11,Movies,10,Current Events,3,The Bible
Name Something That Your Spouse Has Accused You Of “Stealing.”,54,Money,24,Their Heart,9,Left Overs/Dessert,7,A Kiss,4,The TV Remote
Name A Kind Of Ticket People Wait In Line To Buy,45,Concert,43,Movie,3,Amusement Park,3,Sports,2,Theatre
Many Hunters Wear Camouflage In The Woods- Name A Pattern You’d Be Surprised To See A Hunter Wear.,36,Polka Dots,33,Stripes,12,Floral,11,Paisley,5,Tie Dye
Give Me A Person’s First Name That Rhymes With “Silly.”,59,Billy,18,Willy,12,Lily,7,Millie,3,Tillie
Tell Me A Name That’s Common For Cats To Have.,28,Fluffy,21,Felix,20,Whiskers,10,Morris,6,Tom
Name Something Specific Farmers Grow In Their Fields,46,Corn,17,Wheat,13,Cotton,6,Carrots,5,Tomatoes
Name A Reason Why Some TV Commercials Are More Irritating Than Others.,38,Loud Sounds,22,Played Too Much,15,Too Long,15,Catchy Song,6,Too Boring
Name Something Cats Can Chase All Day.,38,Nice,25,Tail,12,Ball Of Yarn,10,Birds,9,Toy/Ball
Name Something You’ve Ridden On Only A Handful Of Times In Your Life.,35,Horse,33,Airplane,21,Roller Coaster,14,Motorcycle,4,Train
Name Something You’d See At A Dog Show- But Not At A Beauty Pageant.,53,Dogs,24,Leash,10,Poop,6,Collar/Tag,5,Trainers
Name Something A Camper Does While Camping That He Wouldn’t Do At Home.,35,Build A Fire,18,Hike,17,Sing Campfire Songs,14,Sleep In A Tent,10,Use A Latrine
Name Something You See Cheerleaders Do That Would Look Strange To See People Doing Otherwise.,31,Splits,27,Shouting,15,Cartwheel,13,Pyramid,11,Use Pom Poms
Name Something People Don’t Want To Do In Front Of Somebody They’re Dating- Until They Get Serious.,60,Pass Gas,13,Show Affection,9,Eat,9,Undress,4,Use The Restroom
Name Something People Associate With Niagara Falls.,74,Waterfall,11,Hioneymoon,8,Weddings,5,Barrels,2,Vacation
Name Something Cats Hate,54,Dogs,33,Water,3,Grab Their Tail,3,Mouse,2,Vacuum Cleaner
Besides Chocolate Chip- Name A Popular Cookie,44,Oreo,22,Oatmeal,17,Peanut Butter,8,Sugar,3,Vanilla Wafers
Name A Country To Which American Jobs Are Being Outsourced,28,China,27,Mexico,21,India,14,Japan,5,Vietnam
Name Something You Might Know Your Partner’s Password For,40,E Mail,23,Computer,20,Bank Account,7,Credit Card,4,Voice Mail
Name A Place Where People Are Asked To Rise,44,Place Of Worship,30,Court,12,School,10,Sporting Event,5,Wedding
Name Something People Carry On Their Shoulders.,43,Backpacks,33,Purses,12,Kids,5,Monkey,2,Weight Of The World
Name Something You Want To Know When You Run Into A Friend You Haven’t Seen In Years?,31,Married?,29,How Are You?,16,Your Name Again…?,12,Have Kids?,9,What Do You Do?
Name Something In Your Car That Can Be Turned On And Off.,28,Radio,26,Engine,23,Lights,13,Heater/AC,5,Wipers
Name A Reason A Person Might Wear A Disguise.,41,Halloween Party,27,Robber/On The Run,12,Undercover Spy,10,Celebrity,7,Witness Protection
Name Something You Can’t Be Afraid Of If You Want To Become A Fisherman,49,Water,21,Fish,15,Hooks,8,Boats,7,Worms
Name A Type Of TV Show A Man Might Be Embarrassed To Say He Watches A Lot Of.,61,Soap Opera,13,Cartoons,10,Talk show,8,Game Show,5,Wrestling
Tell Me Something You’d Hear On The Radio That Would Lead You To Believe That The Host Is Inexperienced.,39,Stuttering,31,Dead Air,12,Profanity,10,Belch/Cough,6,Wrong Song
Name A Place That Might Be Dimly Lit.,42,Restaurant,31,Bar,11,Movie Theater,5,Basement,4,Alley
Name Something You Might Find Inside Of A Plastic Egg.,63,Candy,18,Pantyhose,10,Toys,5,Money,4,Balls
Tell Me A Noise That Birds Make.,38,Chirp/Cheep,30,Tweet,14,Caw Caw,6,Squawk,5,Cluck
A Young Person “Fights For Their Right To Party.” What Might An Old Person Fight For The Right To Do?,32,Sleep,25,Vote,16,Retire,10,Keep License,8,Get Social security
Name A Reason Why A Child Might Not Want Long Hair.,38,Hot,24,Tangles,19,Looks Like A Girl,7,Hard To Wash,7,In Their Eyes
Name A Drink That You Might Stir.,50,Coffee,17,Tea,12,Martini,8,Chocolate Milk,7,Kool Aid
Name An Animal You See In The Woods That You Would Be Surprised To See In The City.,38,Bear,29,Deer,14,Wolf,11,Fox,7,Mountain Lion
Other Than For A Passenger- Name A Reason A Cab Driver Would Stop The Car.,32,Red Light,23,Accident,21,Traffic Jam,12,Police/Sirens,8,Needs Gas
Name An Article Of Clothing That Only A Neat-Freak Would Iron.,47,Underware,29,Socks,14,Jeans,5,Tie,3,Nightgown
Name A Reason A Game Show Host Might Get Fired.,30,Cursing,25,Intoxicated,19,Rude,15,Cheating,8,Not Funny
Name A Halloween Costume People Wear If They Don’t Want To Go All Out.,50,Ghost,36,Witch,5,Pumpkin,4,Vampire,3,Pajamas
Name Something You’d Find In A Hospital Waiting Room.,58,Magazines,12,TV,10,Pay Phone,9,Chair,6,People
If Fred Flintstone Was Your Neighbor- Name Something You Wouldn’t Ask To Borrow.,45,Car,24,Clothes/Shoes,15,Food,8,Lawn Mower,3,Phone
Name An Occupation You’d Want Just For The Car.,32,Limo Driver,25,police Officer,22,Racecar Driver,11,Taxi Driver,8,Pizza driver
Name An Exercise High School Gym Teachers Make You Do.,39,Jumping Jacks,27,Run,23,Push Ups,6,Sit Ups,3,Pull Ups
Name Something That People With Roommates Do More Of In Their Bedroom Than People Without,34,Watch TV,18,Talk On The Phone,15,Sleep,14,Eat,13,Read/Study
Name Something In An Office That Makes A Lot Of Noise.,40,Telephones,26,Copier,13,Fax Machine,10,Printer,5,Shredder
Name A Specific Item That A Woman Might Not Want To Wear When She’s Pregnant.,42,Bikini,25,Jeans,17,High Heels,7,Mini Skirt,6,Spandex
If You Moved To England- Name Something That Would Take Some Getting Used To.,43,British Accent,18,Weather,17,Driving On Other Side,12,Culture,4,Time Difference
If Men Carried Purses- Name Something You’d Find Inside Them.,34,Wallet/Money,20,Cell Phone,17,Cigarettes,15,Keys,12,Tools
Name Something That Kids Promise Their Parents They’ll Do If They’re Allowed To Borrow The Family Car,29,Chores,27,Drive Carefully,25,Fill It Up,11,Make Curfew,6,Wash It
Name something that kids promise their parents they’ll do if they’re allowed to borrow the family car.,29,Chores,27,Drive carefully,25,Fill it up,11,Make curfew,6,Wash it
